Date,Vaccinated
20210503,0.12742638130814535
20210504,
20210505,0.1344216029664921
20210506,0.14195993692670753
20210507,0.14842953950804966
20210510,0.15503373027670045
20210511,0.157674434738335
20210512,0.1620485134471815
20210513,0.1673607224073907
20210514,
20210517,0.17975948161444624
20210518,0.18249335867973698
20210519,
20210520,0.1918096721186553
20210521,0.19599670788472473
20210524,
20210525,0.2056030550048291
20210526,0.21017369576172054
20210527,0.21467022704461536
20210528,0.21939701103084883
20210531,0.22978634193792338
20210601,0.23437046394075708
20210602,0.2411968585357792
20210604,0.4744136418048403
20210607,0.27418185408347934
20210608,0.28059369413599694
20210609,0.28787551063645384
20210610,0.2963868367021414
20210611,0.305259315628163
20210614,0.31929010300618826
20210615,0.3241322874544522
20210616,0.33144951402974077
20210617,0.33992403454966735
20210618,0.34736172016910516
20210621,0.3426339571622647
20210622,0.3500901368849402
20210623,0.35941360822778307
20210624,0.37043186335974265
20210625,0.37737097068323666
20210628,0.39434903187043
20210629,0.40570779172478555
20210630,0.4159463190577682
20210701,0.42712725292057824
20210702,0.43842445031884864
20210705,0.4543097482332964
20210706,0.463682531269656
20210707,0.474410305626374
20210708,0.48738341209236213
20210709,0.49856201925995564
20210712,0.5173334638815112
20210713,0.5256399557386596
20210714,0.5344688144136964
20210715,0.5448539710288933
20210716,0.5549119658065073
20210719,0.5707767270744013
20210720,0.5779702751390693
20210721,0.5864328455100255
20210722,0.5949919499906778
20210723,0.603017149144511
20210726,0.6159644957706023
20210727,0.6208753896353848
20210728,0.6272603398869611
20210729,0.6337843457904041
20210730,0.6394576834325554
20210802,0.6472500943558006
20210803,0.651415377370852
20210804,0.6603015249801477
20210805,0.6655874203851787
20210806,0.6708467487295235
20210809,0.678717365102188
20210810,0.6830222023466526
20210811,0.6883528035383432
20210812,0.693765337640157
20210813,0.7010090521027069
20210816,0.7073630193210433
20210817,0.7115010942471345
20210818,0.7184581266205106
20210819,0.7256708105662447
20210820,0.7382857959031978
20210823,0.746612468280081
20210824,0.7515140791057855
20210825,0.7580960387135494
20210826,0.7654300669373595
20210827,0.7706437160817399
20210830,0.7790075680985109
20210831,0.7833943857366745
20210901,0.792422366787024
20210902,
20210903,0.8057975404314932
20210906,0.8136451510116601
20210907,0.8171577722767
20210908,0.8247836582994512
20210909,0.8286786648007837
20210910,0.8326318861661042
20210913,0.8380942305389811
20210914,0.8407697875872092
20210915,0.8445348315414496
20210916,0.8473073975351323
20210917,0.8495937791957218
20210920,0.8548360371945497
20210921,0.8567545635930556
20210922,0.859088927407038
20210923,0.8608559811985932
20210924,0.8626747446042454
20210927,0.86533033480883
20210928,0.8666179706768501
20210929,0.86816009476962
20210930,0.8692717327637647
20211001,0.8705434141503002
20211004,0.8724149080669301
20211005,0.8730254281433777
